receiver,station_name,station_lat,station_lon
122662,PMJ11,42.693115,-70.528978
122652,PMJ12,42.693294,-70.515554
122656,PMJ13,42.69347,-70.50213
122654,PMJ14,42.693646,-70.488705
122659,PMJ15,42.693819,-70.475281
122667,PMJ16,42.693992,-70.461856
122653,PMJ17,42.694162,-70.448431
122665,PMJ5,42.70178,-70.522476
122664,PMJ6,42.701958,-70.50905
122655,PMJ7,42.702134,-70.495623
122658,PMJ8,42.702309,-70.482197
122661,PMJ9,42.702482,-70.468771
122666,PMJ10,42.702653,-70.455344
122663,PMJ1,42.710622,-70.502543
122668,PMJ2,42.710798,-70.489115
122660,PMJ3,42.710972,-70.475687
122657,PMJ4,42.711144,-70.462259
104695,PMJ18,42.67423321,-70.55848869
107126,PMJ19,42.67934211,-70.546985
109301,PMJ20,42.68444987,-70.5354794
103070,PMJ21,42.68462905,-70.52205712
109302,PMJ22,42.68480665,-70.50863472
109307,PMJ23,42.68498268,-70.4952122
109306,PMJ24,42.68515714,-70.48178957
109313,PMJ25,42.68533003,-70.46836681
104692,PMJ26,42.68550134,-70.45494393
109312,PMJ27,42.68567108,-70.44152094
109317,PMJ28,42.68583925,-70.42809783
109316,PMJ29,42.68600585,-70.41467461
